[2026-01-24 10:48:53] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:49:06] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:49:18] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:49:30] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:49:42] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:50:03] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:50:15] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:04] | IP: 127.0.0.1 | Method: GET | Payload: search.jsp?query=%3CScRipT%3Ealert%28%22XSS%22%29%3B%3C%2FScRipT%3E | Action: BLOCKED
[2026-01-24 10:51:46] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv4 | Action: ALLOWED
[2026-01-24 10:51:54] | IP: 127.0.0.1 | Method: GET | Payload: success.txt?ipv6 | Action: ALLOWED
